longitude,latitude,ADRES
16.844053485045464,52.35333034999999,GŁOGOWSKA 429
16.9467307,52.4309675,SERBSKA 24
16.8890053,52.4066757,STANISŁAWA PRZYBYSZEWSKIEGO 39A
16.9019178,52.4538917,OBORNICKA 300
16.9938282,52.3828629,SZWAJCARSKA 14
16.99204639847367,52.39305925,SZWAJCARSKA 1
16.975640492018158,52.3109205,SYPNIEWO 4
16.88637915719044,52.3784018,CZECHOSŁOWACKA 108
16.8840061,52.3823898,GŁOGOWSKA 260 (268)
16.9532955,52.4052588,JANA PAWŁA II 12
16.9434083,52.3845184,ZAMENHOFA 138
16.9661004,52.3894102,KRZYWOUSTEGO 309
16.8915494,52.4605282,OBORNICKA 337
16.910266,52.4435656,WŁOŚCIAŃSKA 6
16.913771320772618,52.437151400000005,AL. SOLIDARNOŚCI 51
16.86958072995735,52.3964369,GRUNWALDZKA 104
16.923513272308014,52.4352559,AL. SOLIDARNOSCI 48
16.928943065181613,52.45161445,UMULTOWSKA 32
16.8294463,52.4150467,BUKOWSKA 285
16.9775331,52.4259486,BAŁTYCKA 34
16.8285935,52.2302134,MIESZKA I 40
16.9982025,52.35191,BOLESŁAWA KRZYWOUSTEGO 135
16.904411220735383,52.450790999999995,OBORNICKA 263
16.8478093,52.4300016,DĄBROWSKIEGO 315
16.907805660690265,52.45955655,SZYMANOWSKIEGO 13
16.8636103,52.3828687,JAWORNICKA 58
16.914403649999997,52.436225300000004,SOLIDARNOŚCI 55
16.8367432,52.4318475,DĄBROWSKIEGO 381A
16.885633637386942,52.393729,CHOCISZEWSKIEGO 49
16.9553417,52.4095312,JANA PAWŁA II 2
16.9363623,52.3981185,KRÓLOWEJ JADWIGI 15
16.9441431,52.4428034,NARAMOWICKA 131
16.8911938,52.416093,STEFANA ŻEROMSKIEGO 3
16.973312264863445,52.3822564,BOBRZAŃSKA 21
16.981165785784313,52.3917119,CHARTOWO 21
16.96089306732516,52.38631565,PIŁSUDSKIEGO 110
16.9141635,52.4438933,WOJCIECHOWSKIEGO 4
16.933895776195595,52.41139325,MAŁE GARBARY 1A
16.9060299,52.4159743,KOŚCIELNA 35
16.8660404,52.3915292,JUGOSŁOWIAŃSKA 33A
16.9030364,52.4579381,STRÓŹYŃSKIEGO 21A
16.9350574,52.4269732,MURAWA 1
16.9215862,52.4006424,TOPOLOWA 11
16.834629421085943,52.3542662,GŁOGOWSKA 432
16.8828075,52.3825463,ZGODA 19
16.957989056212078,52.3766349,KURLANDZKA 2
16.865,52.396,GRUNWALDZKA 108
16.80094674784185,52.4337828,DĄBROWSKIEGO 543
16.9063302,52.4423631,JURASZÓW 22
16.9953387,52.4095058,WARSZAWSKA 142
16.9506683,52.4322832,SERBSKA 7
16.9413605,52.3761384,ROMANA MAYA 1
16.8996957,52.382164,GÓRECKA 25
17.035163431882054,52.40837665,WARSZAWSKA 349
16.8935393,52.3751872,CZECHOSŁOWACKA 102
16.977479612711818,52.42680625,BAŁTYCKA 37
16.8743758,52.3781113,GŁOGOWSKA 232/234
16.9117432012196,52.3864369,TRAUGUTTA 1/3
16.9299984,52.4438678,UMULTOWSKA 2
16.9511628,52.3958177,RONDO RATAJE
16.8682971,52.4105909,BUŁGARSKA 119
16.910307008835353,52.44458095,WOJCIECHOWSKIEGO 7/17
16.91029650275926,52.44288795,LECHICKA 2
16.874312316755116,52.3788968,GŁOGOWSKA 218
16.918172245834533,52.42652625,PIĄTKOWSKA 68
17.008334,52.4101079,WARSZAWSKA 246
16.991705768932956,52.3713094,BODAWSKA 4
16.943002,52.3835842,ZAMENHOFA 140
16.8288414,52.3755365,WOŁCZYŃSKA 50
16.808750300404647,52.4311331,WICHROWA 1
16.966738544796605,52.426812749999996,BAŁTYCKA 4A
16.9945955,52.3610325,KRZYWOUSTEGO  121
17.27705,52.47018,MIESZKA I 28
16.911067298690114,52.38572525,HETMAŃSKA 82
16.915662284687713,52.3841673,HETMAŃSKA 98
16.9731018,52.4099817,WARSZAWSKA 71/73
